,Vehicle,fm,Mileage,lh,lc,mc,State
0,1,0.0,863.0,1.1,66.3,697.23,MS
1,2,10.0,4644.0,2.4,233.03,119.66,CA
2,3,15.0,16330.0,4.2,325.08,175.46,WI
3,4,0.0,13.0,1.0,66.64,0.0,OR
4,5,13.0,22537.0,4.5,328.66,175.46,AZ
5,6,21.0,40931.0,3.1,205.28,175.46,FL
6,7,11.0,34762.0,0.7,49.17,145.2,LA
7,8,5.0,11051.0,2.9,208.8,270.04,GA
8,9,8.0,7003.0,3.4,212.06,119.66,WA
9,10,1.0,11.0,0.7,44.43,0.0,PA
10,11,17.0,24879.0,3.5,260.29,119.66,TX
11,12,3.0,5339.0,3.2,236.93,440.13,LA
12,13,14.0,29782.0,10.0,695.1,228.12,FL
13,14,19.0,56111.0,2.0,116.0,183.31,OH
14,15,13.0,21946.0,3.8,312.36,175.46,MA
15,16,8.0,3101.0,3.1,220.61,119.66,VA
16,17,15.0,41965.0,0.9,66.25,119.66,OH
17,18,3.0,15365.0,2.0,158.94,175.46,CO
18,19,12.0,44865.0,4.9,319.51,119.66,FL
19,20,8.0,14025.0,1.4,87.42,1.85,NH
20,21,18.0,29987.0,2.6,182.17,128.21,IN
21,22,11.0,20694.0,2.3,194.48,119.66,CA
22,23,16.0,20879.0,0.2,10.57,0.0,MT
23,24,20.0,17503.0,4.1,308.6,119.66,NY
24,25,17.0,24568.0,4.8,373.44,119.66,TX
25,26,11.0,14400.0,2.1,145.79,119.66,UT
26,27,18.0,12220.0,0.8,66.93,119.66,MA
27,28,8.0,14319.0,1.9,141.1,119.66,VA
28,29,0.0,5.0,0.5,34.01,8.23,MA
29,30,10.0,34644.0,4.7,341.22,119.66,FL
30,31,17.0,24719.0,2.4,147.98,119.66,NY
31,32,4.0,13259.0,2.5,170.77,119.66,VA
32,33,6.0,12424.0,1.7,148.6,145.3,NJ
33,34,5.0,7702.0,2.7,165.97,323.31,MI
34,35,0.0,10.0,3.0,176.18,118.47,NY
35,36,9.0,15017.0,3.7,286.01,119.66,UT
36,37,17.0,19489.0,0.5,37.53,0.0,MA
37,38,7.0,5461.0,0.8,55.67,119.66,MN
38,39,5.0,11912.0,9.5,543.49,119.66,WI
39,40,8.0,20370.0,0.7,56.6,128.21,IL
40,41,4.0,3879.0,1.8,122.25,175.46,CA
41,42,17.0,20831.0,1.3,107.21,119.66,CT
42,43,3.0,4417.0,4.9,365.68,119.66,MN
43,44,6.0,6781.0,0.8,47.6,119.66,SC
44,45,4.0,6244.0,3.3,267.3,204.95,CA
45,46,22.0,41053.0,4.0,286.91,119.66,NC
46,47,13.0,7987.0,4.0,364.38,119.66,MA
47,48,15.0,13394.0,4.1,325.92,171.04,CA
48,49,6.0,7219.0,4.5,314.4,0.0,OH
49,50,1.0,1723.0,1.9,128.09,119.66,TX
50,51,3.0,2855.0,0.9,59.07,119.66,PA
51,52,15.0,17635.0,0.7,53.72,119.66,LA
52,53,19.0,14796.0,16.4,1268.21,276.5,NM
53,54,15.0,28904.0,1.4,93.68,119.66,ME
54,55,14.0,48247.0,2.9,196.37,369.16,TX
55,56,13.0,90325.0,0.8,50.85,119.66,MS
